IP	PORT	匿名度	类型	get/post支持	位置	响应速度	最后验证时间
112.112.139.223	8090	高匿名	HTTP	GET, POST	云南省昆明市 电信	1秒	2分钟前
115.153.173.58	9000	高匿名	HTTP	GET, POST	江西省萍乡市 电信	2秒	2分钟前
119.129.159.63	3128	透明	HTTP	GET, POST	中国 广东省 广州市 电信	1秒	2分钟前
112.112.134.112	8090	高匿名	HTTP	GET, POST	云南省昆明市 电信	2秒	2分钟前
180.112.168.131	8090	匿名	HTTP	GET, POST	中国 江苏省 无锡市 电信	1秒	2分钟前
59.62.52.52	9000	高匿名	HTTP	GET, POST	江西省萍乡市 电信	0.5秒	2分钟前
113.124.57.43	8090	高匿名	HTTP	GET, POST	山东省青岛市 电信	0.8秒	2分钟前
115.218.125.143	9000	高匿名	HTTP	GET, POST	浙江省温州市 电信	0.9秒	2分钟前
27.42.160.102	8090	匿名	HTTP	GET, POST	广东省中山市 联通	3秒	2分钟前
36.106.208.141	8090	匿名	HTTP	GET, POST	中国 浙江省 杭州市 电信	0.4秒	47秒前
